time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,trait5_mean_value,trait6_mean_value,
0, 100, 1.000000, 1.000000, 6.000000, 0.160000, 0.000000,0.160000,0.000000,0.100000,0.000001,-0.000001,0.000001,0.000002,-0.000001,-0.000000,
1, 214, 1.467290, 1.000000, 6.000000, 0.184579, 0.000000,0.281542,0.000000,0.200000,0.000028,-0.000022,-0.000033,-0.000003,-0.000052,-0.000061,
2, 416, 1.754808, 1.000000, 6.000000, 0.138221, 0.000000,0.328125,0.000000,0.300000,0.000029,-0.000024,-0.000034,-0.000004,-0.000056,-0.000064,
3, 830, 1.879518, 1.000000, 6.000000, 0.137651, 0.000000,0.395482,0.000000,0.400000,0.000009,-0.000008,-0.000012,0.000001,-0.000020,-0.000021,
