52,30
51,28
46,26
45,27
49,20
48,25
33,57
29,17
34,6
50,26
56,30
35,34
40,37
32,32
37,35
34,33
32,26
29,28
27,27
31,29
37,27
38,27
51,44
51,41
47,33
49,36
38,18
35,21
37,20
33,17
37,37
21,9
26,8
24,12
21,13
28,9
24,12
24,12
18,16
16,18
13,12
20,28
16,27
22,12
19,12
23,18
20,16
16,13
46,47
48,49
53,26
34,20
30,20
35,14
43,4
42,2
35,3
37,8
46,1
45,52
27,63
28,3
30,11
33,12
38,17
35,23
24,26
23,30
37,54
49,57
48,55
48,52
46,50
48,51
60,50
0,52
59,55
63,60
59,63
47,52
45,47
47,46
43,45
46,57
47,59
51,55
51,56
60,2
62,5
63,61
62,62
1,62
57,60
60,58
47,53
50,53
43,62
46,61
43,63
43,63
40,56
52,18
50,17
57,25
57,27
52,25
51,22
49,15
51,19
49,13
53,16
47,9
51,12
58,21
58,20
55,14
52,10
55,17
54,19
55,21
55,16
52,20
57,20
60,7
41,27
53,49
45,60
46,58
54,63
53,0
54,3
53,3
48,59
51,0
40,1
59,47
7,61
0,60
4,44
7,43
2,35
63,40
0,44
4,40
2,43
60,40
0,41
6,47
4,51
7,45
8,44
9,12
6,2
59,6
60,8
55,9
3,62
2,58
58,57
57,55
1,57
7,58
7,50
8,48
49,28
52,24
34,35
10,30
9,29
13,33
15,30
20,28
22,25
27,29
23,32
25,26
24,31
25,32
26,29
22,34
32,21
28,27
28,27
19,33
16,34
17,25
22,29
19,35
20,34
28,43
41,59
39,47
27,41
28,41
33,38
37,52
32,54
39,41
40,37
31,56
31,53
36,62
49,62
42,28
42,24
29,27
28,27
28,26
33,26
34,52
36,50
36,47
36,48
37,42
31,42
22,39
24,39
17,42
28,44
23,51
17,47
25,45
20,42
29,48
28,48
32,52
34,53
27,35
31,39
62,29
59,37
58,15
57,16
0,28
0,25
59,28
5,15
1,15
1,15
1,6
58,7
57,10
63,20
0,20
60,16
15,30
9,19
9,15
7,10
9,18
53,53
1,50
0,51
63,55
60,54
50,27
59,28
57,23
59,20
61,21
57,15
60,21
55,22
1,29
59,28
59,32
52,35
60,21
63,20
60,25
61,25
56,21
56,20
59,27
51,22
52,27
54,25
2,27
60,27
1,41
6,26
3,32
7,31
11,27
16,31
15,32
19,31
21,34
15,36
12,36
5,47
8,50
13,41
17,43
9,51
9,50
14,53
14,58
13,54
62,37
62,35
38,6
41,63
35,55
38,51
39,56
33,56
39,0
12,0
25,51
24,52
15,54
16,59
11,53
15,57
17,51
18,59
17,59
23,54
24,50
24,51
32,60
31,60
27,57
33,57
17,0
19,58
21,60
13,62
14,54
13,57
6,15
63,16
4,13
10,3
5,5
2,9
6,8
3,6
5,9
2,10
30,0
32,61
27,1
27,61
37,0
36,2
23,60
25,1
28,54
31,2
35,59
33,57
41,61
36,0
42,58
43,58
20,63
20,0
18,55
20,56
29,18
27,24
33,16
38,20
37,15
36,17
46,26
48,25
43,27
46,23
46,23
48,20
47,26
51,25
34,10
31,5
39,14
35,12
35,63
36,4
33,16
37,14
32,13
41,11
41,12
41,13
44,9
33,60
40,62
42,55
33,58
33,59
27,1
25,61
35,1
29,1
33,62
37,58
32,25
27,23
32,29
34,25
26,11
31,13
41,61
28,63
29,0
25,20
26,63
25,59
21,4
19,0
21,62
22,63
11,59
8,59
14,59
6,53
8,52
21,9
21,11
19,11
16,4
22,5
14,10
14,8
25,7
26,7
18,1
30,58
20,62
24,3
19,59
16,57
10,57
11,55
18,39
13,38
12,42
16,43
5,59
19,14
35,10
26,12
22,16
8,8
12,20
8,28
8,15
60,24
60,23
63,20
6,17
3,19
5,25
2,26
62,24
1,25
0,21
2,26
5,21
4,22
11,20
17,52
17,55
36,61
34,58
41,58
46,54
49,53
33,52
32,54
25,59
32,56
37,45
36,43
37,40
39,38
39,40
34,44
35,43
26,46
29,44
28,48
27,45
25,46
27,48
31,43
56,35
61,36
55,30
48,44
48,44
47,59
