"V3","V4","V102","V103","V104","V105"
99,2,3.395479,3.842806,1.97186,-0.638962
14,57,3.417724,3.415704,-0.98996,2.15191
19,55,2.436644,2.363435,-0.364891,0.693379
76,11,2.787508,3.854989,2.085553,-0.996724
85,4,2.739564,3.181788,1.389309,-0.598232
24,66,3.011843,4.113416,-1.242462,2.525436
31,87,3.164513,5.463478,-1.26697,3.169017
33,87,3.987328,5.282943,-1.231332,3.395692
94,16,3.942928,4.149683,2.739337,-1.055322
92,92,2.861125,3.994272,1.799948,-0.622836
87,72,3.302098,3.923043,2.213399,-0.885541
99,76,4.065012,2.654622,2.399639,-1.28255
84,67,3.568475,3.962654,3.053793,-1.599749
18,22,2.401798,5.425975,-1.06747,2.642444
2,20,3.157241,5.583898,-1.312731,3.260995
116,82,2.627091,1.681744,-0.027065,0.152113
121,86,3.981596,2.597074,1.741737,-0.684253
111,73,3.873972,4.83025,1.748086,0.187403
34,55,4.334634,3.821984,-0.309007,2.013465
42,77,3.17191,5.370261,-0.475892,2.343126
60,72,2.837384,5.234975,-0.39865,2.073468
61,61,1.66439,4.591704,-1.36566,2.29585
3,10,3.742025,3.213654,-0.360408,1.571683
89,62,2.441086,3.915041,1.972682,-0.999894
55,112,4.148326,3.179949,1.797418,-0.429388
122,18,3.049725,2.752652,1.142129,-0.401697
58,114,2.969042,3.590001,2.80108,-1.745633
58,116,3.361165,3.310222,1.294392,-0.195789
93,23,3.121955,1.459772,2.707038,-2.468171
68,124,3.475265,1.389077,1.453679,-1.100207
71,122,3.645273,2.71659,1.506197,-0.536322
81,90,4.601414,1.142768,0.920404,-0.209357
101,95,5.716785,2.665164,1.802097,-0.007574
35,2,4.49611,5.420957,-1.088468,3.517703
35,14,4.59551,5.352224,-1.504373,3.94558
114,47,3.525381,2.126801,2.532089,-1.853742
98,31,3.174706,2.804539,2.20731,-1.392875
20,13,3.305162,2.763958,-1.019041,1.866421
18,22,4.36532,3.87567,-1.036474,2.775332
27,17,3.669862,3.308125,-1.188374,2.408735
57,6,2.30799,3.999997,0.502453,0.448137
120,65,5.022395,2.997377,2.461059,-0.812385
106,65,5.022395,2.997377,2.461059,-0.812385
20,21,4.245619,4.303738,-0.435786,2.301906
91,18,3.098486,5.088474,2.844337,-1.118799
53,19,2.848474,3.800255,-0.470024,1.557376
111,57,2.95047,3.216242,0.892396,-0.000676
95,59,4.979312,2.935203,2.9628,-1.356188
62,123,2.30711,2.399412,2.467189,-2.173732
99,60,3.663164,3.178371,1.923932,-0.755155
103,61,3.218489,3.273865,2.142894,-1.117021
76,122,3.775978,1.48674,1.979763,-1.462552
27,108,3.419529,3.252745,-1.611562,2.705502
46,61,2.670488,1.870877,-2.394362,2.612456
60,57,2.683633,5.090282,-2.665954,4.216008
66,66,3.856369,5.677112,-1.788543,4.061001
