"V3","V4","V102","V103","V104","V105"
119,39,2.899722,3.750625,0.369326,0.72105
100,55,3.558442,1.681741,0.982291,-0.476594
75,110,0.514663,1.068886,-0.288334,-0.702809
1,93,1.12605,3.861614,0.80748,-0.395464
90,76,1.479987,2.894033,-0.498884,0.654129
108,79,2.758011,1.608541,-2.119188,2.264649
36,4,1.429686,2.413928,0.17643,-0.239072
92,108,3.63748,3.074566,0.876303,0.237443
11,55,1.554857,0.787915,0.302965,-0.98436
4,82,1.008846,2.93019,-0.838275,0.815905
21,90,1.680661,2.540227,0.475248,-0.381285
32,45,1.293925,5.17389,1.560439,-0.537984
116,47,3.910901,1.690171,1.085335,-0.430999
86,22,3.54918,2.182662,-0.199408,0.90732
83,27,1.279888,1.684623,0.15071,-0.574533
26,92,3.473757,1.799859,1.332107,-0.811155
121,49,3.287967,1.217877,-0.601303,0.803168
12,83,3.574479,-0.400585,-0.381059,0.03385
38,100,1.334777,2.894607,0.954195,-0.855636
103,123,2.887411,1.252042,-0.65784,0.711195
56,125,3.421316,2.428578,1.073841,-0.315611
105,85,5.121278,1.415369,-0.324809,1.358599
102,56,5.001779,1.473218,-0.619207,1.628856
105,65,3.972001,1.229447,0.846238,-0.357279
98,55,5.001779,1.473218,-0.619207,1.628856
124,51,3.330192,1.165275,-0.62194,0.81933
127,44,1.546122,1.167094,0.839716,-1.367854
100,62,2.574553,1.934871,-0.02356,0.231435
30,86,1.802225,2.369208,0.196974,-0.124938
112,107,3.04331,2.006705,0.277488,0.151726
17,109,3.165526,1.64367,0.635852,-0.306093
31,83,1.946115,2.516441,1.676043,-1.482343
109,47,1.444414,3.30011,-0.366023,0.675064
28,37,1.835627,3.227093,1.197929,-0.757804
100,117,3.601151,1.255831,-0.954803,1.300207
102,101,4.569941,1.565111,0.198572,0.671734
88,99,3.836615,2.012409,-0.599773,1.354458
101,92,2.278134,1.71349,-1.999169,1.991596
59,126,2.063131,3.23083,0.717575,-0.183604
63,121,0.862113,2.24523,-0.142069,-0.222376
114,123,-0.589656,2.824674,-0.788197,0.068792
73,123,1.596075,1.769367,0.144323,-0.405114
97,7,2.039328,3.046095,-0.652263,1.09914
115,55,-0.171777,1.264154,-0.176019,-1.014007
34,39,1.601133,2.528003,1.003064,-0.946702
21,46,1.149299,4.653825,1.981139,-1.231463
37,50,1.2773,2.053248,-0.639382,0.365606
121,74,0.996304,1.587012,-1.907001,1.323861
118,86,2.712358,2.772273,0.021889,0.587604
118,90,2.249068,1.447424,-0.468235,0.342031
30,1,1.133435,4.403278,0.499221,0.137283
2,101,1.08702,2.247113,-0.028962,-0.241891
95,43,3.626433,2.275445,0.584621,0.194654
104,45,6.19203,1.31011,-2.468639,3.893996
17,44,1.504892,1.393559,0.165288,-0.617869
107,92,1.202579,2.6197,-1.013562,0.942045
54,17,2.122981,1.350898,0.009324,-0.22691
91,85,3.823537,1.354993,-0.664925,1.14232
87,87,3.904601,1.435839,0.87599,-0.329173
